<strong>Title</strong>,<strong>City Published</strong>,<strong>Country</strong>,<strong>Publisher</strong>,<strong>Date</strong>,<strong>Translation</strong>,<strong>Country Context</strong>,Transcr.,Translator,Digitised,Notes
De l'esprit des lois,Paris,France,Huart and Moreau,1757,French,France,,,"Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-loix_montesquieu-charles-de-_1757_1"">Internet Archive</a><br>Vol. 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-loix_montesquieu-charles-de-_1757_2"">Internet Archive</a><br>Vol. 3. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-loix_montesquieu-charles-de-_1757_3"">Internet Archive</a><br>Vol. 4. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-loix_montesquieu-charles-de-_1757_4"">Internet Archive</a>","Montesquieu, carrying out a more general revision to take into account the religious criticism that the work had attracted. This work was interrupted by his death in 1755 and the revised edition, prepared by third parties, did not appear until 1757. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">Published in Paris by Huart and Moreau (under the address ""London, chez Nourse"") in four volumes in-12.</a>"
The Spirit of the Laws,London,England,Nourse and Vaillant,1758,English,Great Britain,,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://en.wikipedia.org/wiki/Thomas_Nugent_(travel_writer)"">Thomas Nugent (1700–1772)</a>","Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1758_1"">Internet Archive</a><br>Vol. 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1758_2"">Internet Archive</a>",
De l'esprit des lois,Amsterdam,United Provinces,La Compagnie,1758,French,United Provinces,,,,
Oeuvres de Monsieur de Montesquieu,Geneva,Geneva City State,"C. & A. Philibert, 1759",1759,French,Swiss States and Associates,,,"Vol. 3–4 <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespirtdesloi00montgoog"">Internet Archive</a>",
Oeuvres de Monsieur de Montesquieu,Copenhagen,Denmark-Norway,"C. & A. Philibert, 1759",1759,French,Denmark-Norway,,,"Vol. 3–4 <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespirtdesloi00montgoog"">Internet Archive</a>",
Oeuvres de Monsieur de Montesquieu,Amsterdam,United Provinces,Arkstee et Merkus,1759,French,United Provinces,Y,,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://gallica.bnf.fr/ark:/12148/bpt6k6235779v/f506.item"">Gallica BnF</a>","In the great <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">1758 edition</a> of Works by Montesquieu published by Huart and Moreau, in three volumes in-4° (under the address of ""Leipsick, chez Arkstée et Merkus""). It is this text from 1757/1758 which will now be reproduced in all editions of The Spirit of Laws, including modern critical editions."
Oeuvres de Monsieur de Montesquieu,Leipzig,German States,Arkstee et Merkus,1759,French,German States,Y,,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://gallica.bnf.fr/ark:/12148/bpt6k6235779v/f506.item"">Gallica BnF</a>","In the great <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">1758 edition</a> of Works by Montesquieu published by Huart and Moreau, in three volumes in-4° (under the address of ""Leipsick, chez Arkstée et Merkus""). It is this text from 1757/1758 which will now be reproduced in all editions of The Spirit of Laws, including modern critical editions."
De l'esprit des lois,Amsterdam,United Provinces,Grasset,1761,French,United Provinces,,,,
De l'esprit des lois,Lausanne,Switzerland,Grasset,1761,French,Swiss States and Associates,,,"Tome 2 <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/oeuvresdemonsie00montgoog"">Internet Archive</a>",
The Spirit of the Laws,Edinburgh,Scotland,Donaldson and Reid,1762,English,Great Britain,,,,
De l'esprit des lois,Amsterdam,United Provinces,Arkstee et Merkus,1763,French,United Provinces,,,"Vol. 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/oeuvresdemonsieu02mont"">Internet Archive</a><br>Vol. 4. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloix04mont"">Internet Archive</a>",
De l'esprit des lois,Leipzig,German States,Arkstee et Merkus,1763,French,German States,,,"Vol. 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/oeuvresdemonsieu02mont"">Internet Archive</a><br>Vol. 4. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloix04mont"">Internet Archive</a>",
Oeuvres de Monsieur de Montesquieu,Geneva,Geneva City State,Philibert,1764,French,Swiss States and Associates,,,,
Oeuvres de Monsieur de Montesquieu,Copenhagen,Denmark-Norway,Philibert,1764,French,Denmark-Norway,,,,
Oeuvres de Monsieur de Montesquieu,Amsterdam,United Provinces,Arkstee et Merkus,1764,French,United Provinces,,,"Tome 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi01monguat"">Internet Archive</a><br>Tome 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi02monguat"">Internet Archive</a><br>Tome 3. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi03monguat"">Internet Archive</a><br>Tome 4. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi04monguat"">Internet Archive</a>",
Oeuvres de Monsieur de Montesquieu,Leipzig,German States,Arkstee et Merkus,1764,French,German States,,,"Tome 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi01monguat"">Internet Archive</a><br>Tome 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi02monguat"">Internet Archive</a><br>Tome 3. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi03monguat"">Internet Archive</a><br>Tome 4. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi04monguat"">Internet Archive</a>",
Oeuvres de Monsieur de Montesquieu,Amsterdam,United Provinces,Arkstee et Merkus,1765,French,United Provinces,,,,
Oeuvres de Monsieur de Montesquieu,Leipzig,German States,Arkstee et Merkus,1765,French,German States,,,,
The Spirit of the Laws,London,England,Nourse and Vaillant,1766,English,Great Britain,Y,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://en.wikipedia.org/wiki/Thomas_Nugent_(travel_writer)"">Thomas Nugent (1700–1772)</a>","<a target=""_blank"" rel=""noopener noreferrer"" href=""https://link.gale.com/apps/doc/CW0123929690/ECCO?u=franche&sid=bookmark-ECCO&xid=1999f231&pg=482"">Gale digitised edition.</a><br>Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1766_1"">Internet Archive</a><br>Vol. 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1766_2"">Internet Archive</a>",
The Spirit of the Laws,Dublin,Ireland,Faulkner and Ewing,1767,English,Ireland,,,,
Oeuvres de Monsieur de Montesquieu,Paris,France,Nourse [Huart],1767,French,France,,,"Tome 2 <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/uvresdemonsieur00conggoog"">Internet Archive</a>",
Oeuvres de Monsieur de Montesquieu,London,England,S.N.,1767,French,France,,,"Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_works-oeuvres-de-mons_montesquieu-charles-de-_1767_1"">Internet Archive</a></a><br>Vol. 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_works-oeuvres-de-mons_montesquieu-charles-de-_1767_2"">Internet Archive</a>",
The Spirit of the Laws,Edinburgh,Scotland,Donaldson,1768,English,Great Britain,,,"Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1768_1""> Internet Archive</a><br>Vol. 2.<a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1768_2""> Internet Archive</a>",
De l'esprit des lois,London,England,S.N.,1768,French,Great Britain,,,"Tome 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-lois-no_secondat-charles-louis-_1768_1"">Internet Archive</a><br>Tome 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-lois-no_secondat-charles-louis-_1768_2"">Internet Archive</a><br>Tome 3. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-lois-no_secondat-charles-louis-_1768_3"">Internet Archive</a><br>Tome 4. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-lois-no_secondat-charles-louis-_1768_4"">Internet Archive</a>",
Oeuvres de Monsieur de Montesquieu,Amsterdam,United Provinces,Arkstee et Merkus,1769,French,United Provinces,,,"Vol. 1.<a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/oeuvresdemonsieu01mont"">Internet Archive</a></br>Vol. 3. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/oeuvresdemonsie03mont"">Internet Archive</a>",
Oeuvres de Monsieur de Montesquieu,Leipzig,German States,Arkstee et Merkus,1769,French,German States,,,"Vol. 1.<a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/oeuvresdemonsieu01mont"">Internet Archive</a></br>Vol. 3. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/oeuvresdemonsie03mont"">Internet Archive</a>",
Oeuvres de Monsieur de Montesquieu,London [Paris],England [Paris],Nourse [Le Clerc],1769,French,Great Britain,,,"Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi07montgoog"">Internet Archive</a><br>Vol. 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi05montgoog"">Internet Archive</a><br>Vol. 4. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloi06montgoog"">Internet Archive</a>","v.2-3 have imprint Amsterdam, 1784"
The Spirit of the Laws,Berwick-upon-Tweed,England,Taylor,1770,English,Great Britain,,,"Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1770_1"">Internet Archive</a><br>Vol. 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1770_2"">Internet Archive</a><br>Vol. 3. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1770_3""> Internet Archive</a>",
Om lovenes natur og aarsag,Copenhagen,Denmark-Norway,Svare og Skindergaden,1770,Danish,Denmark-Norway,,,,
De l'esprit des lois,Amsterdam,United Provinces,Grasset,1770,French,United Provinces,,,,
De l'esprit des lois,Lausanne,Switzerland,Grasset,1770,French,Swiss States and Associates,,,,
De aart der wetten,Amsterdam,United Provinces,Kok,1771,Dutch,United Provinces,,,,
Oeuvres de Monsieur de Montesquieu,Geneva,Geneva City State,Cailler,1771,French,Swiss States and Associates,,,,
The Spirit of the Laws,Edinburgh,Scotland,Donaldson,1772,English,Great Britain,,,"Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1772_1"">Internet Archive</a><br>Vol. 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1772_2"">Internet Archive</a>",
Oeuvres de Monsieur de Montesquieu,Liège,Austrian Netherlands,Nourse [Bassompierre],1772,French,Austrian Netherlands,,,,
The Spirit of the Laws,London,England,"Crowder, Ware, and Payne",1773,English,Great Britain,Y,,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://link.gale.com/apps/doc/CW0124242768/ECCO?u=franche&sid=bookmark-ECCO&xid=2d3ff4f2&pg=327"">Gale digitised edition</a>",
The Spirit of the Laws,Edinburgh,Scotland,Kincaid and Creech,1773,English,Great Britain,,,,
